ControlPointName,Tx,Ty,Tz,Rx,Ry,Rz
GCP01,-50.0,-50.0,1.0,0.0,0.0,0.0
GCP02,-50.0,-25.0,1.0,0.0,0.0,0.0
GCP03,-50.0,0.0,1.0,0.0,0.0,0.0
GCP04,-50.0,25.0,1.0,0.0,0.0,0.0
GCP05,-50.0,50.0,1.0,0.0,0.0,0.0
GCP06,-25.0,-50.0,1.0,0.0,0.0,0.0
GCP07,-25.0,-25.0,1.0,0.0,0.0,0.0
GCP08,-25.0,0.0,1.0,0.0,0.0,0.0
GCP09,-25.0,25.0,1.0,0.0,0.0,0.0
GCP10,-25.0,50.0,1.0,0.0,0.0,0.0
GCP11,0.0,-50.0,1.0,0.0,0.0,0.0
GCP12,0.0,-25.0,1.0,0.0,0.0,0.0
GCP13,0.0,0.0,1.0,0.0,0.0,0.0
GCP14,0.0,25.0,1.0,0.0,0.0,0.0
GCP15,0.0,50.0,1.0,0.0,0.0,0.0
GCP16,25.0,-50.0,1.0,0.0,0.0,0.0
GCP17,25.0,-25.0,1.0,0.0,0.0,0.0
GCP18,25.0,0.0,1.0,0.0,0.0,0.0
GCP19,25.0,25.0,1.0,0.0,0.0,0.0
GCP20,25.0,50.0,1.0,0.0,0.0,0.0
GCP21,50.0,-50.0,1.0,0.0,0.0,0.0
GCP22,50.0,-25.0,1.0,0.0,0.0,0.0
GCP23,50.0,0.0,1.0,0.0,0.0,0.0
GCP24,50.0,25.0,1.0,0.0,0.0,0.0
GCP25,50.0,50.0,1.0,0.0,0.0,0.0
