ImageName,Tx,Ty,Tz,Rx,Ry,Rz
ImTest0001,-10.0,-10.0,10.0,0.0,0.0,0.0
ImTest0002,-10.0,-8.0,10.0,0.0,0.0,0.0
ImTest0003,-10.0,-6.0,10.0,0.0,0.0,0.0
ImTest0004,-10.0,-4.0,10.0,0.0,0.0,0.0
ImTest0005,-10.0,-2.0,10.0,0.0,0.0,0.0
ImTest0006,-10.0,0.0,10.0,0.0,0.0,0.0
ImTest0007,-10.0,2.0,10.0,0.0,0.0,0.0
ImTest0008,-10.0,4.0,10.0,0.0,0.0,0.0
ImTest0009,-10.0,6.0,10.0,0.0,0.0,0.0
ImTest0010,-10.0,8.0,10.0,0.0,0.0,0.0
ImTest0011,-10.0,10.0,10.0,0.0,0.0,0.0
ImTest0012,-8.0,-10.0,10.0,0.0,0.0,0.0
ImTest0013,-8.0,-8.0,10.0,0.0,0.0,0.0
ImTest0014,-8.0,-6.0,10.0,0.0,0.0,0.0
ImTest0015,-8.0,-4.0,10.0,0.0,0.0,0.0
ImTest0016,-8.0,-2.0,10.0,0.0,0.0,0.0
ImTest0017,-8.0,0.0,10.0,0.0,0.0,0.0
ImTest0018,-8.0,2.0,10.0,0.0,0.0,0.0
ImTest0019,-8.0,4.0,10.0,0.0,0.0,0.0
ImTest0020,-8.0,6.0,10.0,0.0,0.0,0.0
ImTest0021,-8.0,8.0,10.0,0.0,0.0,0.0
ImTest0022,-8.0,10.0,10.0,0.0,0.0,0.0
ImTest0023,-6.0,-10.0,10.0,0.0,0.0,0.0
ImTest0024,-6.0,-8.0,10.0,0.0,0.0,0.0
ImTest0025,-6.0,-6.0,10.0,0.0,0.0,0.0
ImTest0026,-6.0,-4.0,10.0,0.0,0.0,0.0
ImTest0027,-6.0,-2.0,10.0,0.0,0.0,0.0
ImTest0028,-6.0,0.0,10.0,0.0,0.0,0.0
ImTest0029,-6.0,2.0,10.0,0.0,0.0,0.0
ImTest0030,-6.0,4.0,10.0,0.0,0.0,0.0
ImTest0031,-6.0,6.0,10.0,0.0,0.0,0.0
ImTest0032,-6.0,8.0,10.0,0.0,0.0,0.0
ImTest0033,-6.0,10.0,10.0,0.0,0.0,0.0
ImTest0034,-4.0,-10.0,10.0,0.0,0.0,0.0
ImTest0035,-4.0,-8.0,10.0,0.0,0.0,0.0
ImTest0036,-4.0,-6.0,10.0,0.0,0.0,0.0
