objectName_markerName,X,Y,Z,localX,localY,localZ
GCP01_000,-50.0,-50.0,1.0,0.0,0.0,0.0
GCP01_001,-49.5,-49.5,1.0,0.5,0.5,0.0
GCP01_002,-49.5,-50.5,1.0,0.5,-0.5,0.0
GCP01_003,-50.5,-49.5,1.0,-0.5,0.5,0.0
GCP01_004,-50.5,-50.5,1.0,-0.5,-0.5,0.0
GCP02_000,-50.0,-25.0,1.0,0.0,0.0,0.0
GCP02_001,-49.5,-24.5,1.0,0.5,0.5,0.0
GCP02_002,-49.5,-25.5,1.0,0.5,-0.5,0.0
GCP02_003,-50.5,-24.5,1.0,-0.5,0.5,0.0
GCP02_004,-50.5,-25.5,1.0,-0.5,-0.5,0.0
GCP03_000,-50.0,0.0,1.0,0.0,0.0,0.0
GCP03_001,-49.5,0.5,1.0,0.5,0.5,0.0
GCP03_002,-49.5,-0.5,1.0,0.5,-0.5,0.0
GCP03_003,-50.5,0.5,1.0,-0.5,0.5,0.0
GCP03_004,-50.5,-0.5,1.0,-0.5,-0.5,0.0
GCP04_000,-50.0,25.0,1.0,0.0,0.0,0.0
GCP04_001,-49.5,25.5,1.0,0.5,0.5,0.0
GCP04_002,-49.5,24.5,1.0,0.5,-0.5,0.0
GCP04_003,-50.5,25.5,1.0,-0.5,0.5,0.0
GCP04_004,-50.5,24.5,1.0,-0.5,-0.5,0.0
GCP05_000,-50.0,50.0,1.0,0.0,0.0,0.0
GCP05_001,-49.5,50.5,1.0,0.5,0.5,0.0
GCP05_002,-49.5,49.5,1.0,0.5,-0.5,0.0
GCP05_003,-50.5,50.5,1.0,-0.5,0.5,0.0
GCP05_004,-50.5,49.5,1.0,-0.5,-0.5,0.0
GCP06_000,-25.0,-50.0,1.0,0.0,0.0,0.0
GCP06_001,-24.5,-49.5,1.0,0.5,0.5,0.0
GCP06_002,-24.5,-50.5,1.0,0.5,-0.5,0.0
GCP06_003,-25.5,-49.5,1.0,-0.5,0.5,0.0
GCP06_004,-25.5,-50.5,1.0,-0.5,-0.5,0.0
GCP07_000,-25.0,-25.0,1.0,0.0,0.0,0.0
GCP07_001,-24.5,-24.5,1.0,0.5,0.5,0.0
GCP07_002,-24.5,-25.5,1.0,0.5,-0.5,0.0
GCP07_003,-25.5,-24.5,1.0,-0.5,0.5,0.0
GCP07_004,-25.5,-25.5,1.0,-0.5,-0.5,0.0
GCP08_000,-25.0,0.0,1.0,0.0,0.0,0.0
GCP08_001,-24.5,0.5,1.0,0.5,0.5,0.0
GCP08_002,-24.5,-0.5,1.0,0.5,-0.5,0.0
GCP08_003,-25.5,0.5,1.0,-0.5,0.5,0.0
GCP08_004,-25.5,-0.5,1.0,-0.5,-0.5,0.0
GCP09_000,-25.0,25.0,1.0,0.0,0.0,0.0
GCP09_001,-24.5,25.5,1.0,0.5,0.5,0.0
GCP09_002,-24.5,24.5,1.0,0.5,-0.5,0.0
