objectName_markerName,X,Y,Z,localX,localY,localZ
trichecker4_000,0.0,0.0,0.0,0.0,0.0,0.0
trichecker4_001,0.0,0.1,0.0,0.0,0.1,0.0
trichecker4_002,0.0,0.2,0.0,0.0,0.2,0.0
trichecker4_003,0.0,0.3,0.0,0.0,0.3,0.0
trichecker4_004,0.0,0.4,0.0,0.0,0.4,0.0
trichecker4_005,0.0,0.5,0.0,0.0,0.5,0.0
trichecker4_006,0.0,0.6,0.0,0.0,0.6,0.0
trichecker4_007,0.0,0.7,0.0,0.0,0.7,0.0
trichecker4_008,0.0,0.8,0.0,0.0,0.8,0.0
trichecker4_009,0.0,0.9,0.0,0.0,0.9,0.0
trichecker4_010,0.0,1.0,0.0,0.0,1.0,0.0
trichecker4_011,0.1,0.0,0.0,0.1,0.0,0.0
trichecker4_012,0.1,0.1,0.0,0.1,0.1,0.0
trichecker4_013,0.1,0.2,0.0,0.1,0.2,0.0
trichecker4_014,0.1,0.3,0.0,0.1,0.3,0.0
trichecker4_015,0.1,0.4,0.0,0.1,0.4,0.0
trichecker4_016,0.1,0.5,0.0,0.1,0.5,0.0
trichecker4_017,0.1,0.6,0.0,0.1,0.6,0.0
trichecker4_018,0.1,0.7,0.0,0.1,0.7,0.0
trichecker4_019,0.1,0.8,0.0,0.1,0.8,0.0
trichecker4_020,0.1,0.9,0.0,0.1,0.9,0.0
trichecker4_021,0.1,1.0,0.0,0.1,1.0,0.0
trichecker4_022,0.2,0.0,0.0,0.2,0.0,0.0
trichecker4_023,0.2,0.1,0.0,0.2,0.1,0.0
trichecker4_024,0.2,0.2,0.0,0.2,0.2,0.0
trichecker4_025,0.2,0.3,0.0,0.2,0.3,0.0
trichecker4_026,0.2,0.4,0.0,0.2,0.4,0.0
trichecker4_027,0.2,0.5,0.0,0.2,0.5,0.0
trichecker4_028,0.2,0.6,0.0,0.2,0.6,0.0
trichecker4_029,0.2,0.7,0.0,0.2,0.7,0.0
trichecker4_030,0.2,0.8,0.0,0.2,0.8,0.0
trichecker4_031,0.2,0.9,0.0,0.2,0.9,0.0
trichecker4_032,0.2,1.0,0.0,0.2,1.0,0.0
trichecker4_033,0.3,0.0,0.0,0.3,0.0,0.0
trichecker4_034,0.3,0.1,0.0,0.3,0.1,0.0
trichecker4_035,0.3,0.2,0.0,0.3,0.2,0.0
trichecker4_036,0.3,0.3,0.0,0.3,0.3,0.0
trichecker4_037,0.3,0.4,0.0,0.3,0.4,0.0
trichecker4_038,0.3,0.5,0.0,0.3,0.5,0.0
trichecker4_039,0.3,0.6,0.0,0.3,0.6,0.0
trichecker4_040,0.3,0.7,0.0,0.3,0.7,0.0
trichecker4_041,0.3,0.8,0.0,0.3,0.8,0.0
trichecker4_042,0.3,0.9,0.0,0.3,0.9,0.0
trichecker4_043,0.3,1.0,0.0,0.3,1.0,0.0
trichecker4_044,0.4,0.0,0.0,0.4,0.0,0.0
trichecker4_045,0.4,0.1,0.0,0.4,0.1,0.0
trichecker4_046,0.4,0.2,0.0,0.4,0.2,0.0
trichecker4_047,0.4,0.3,0.0,0.4,0.3,0.0
trichecker4_048,0.4,0.4,0.0,0.4,0.4,0.0
trichecker4_049,0.4,0.5,0.0,0.4,0.5,0.0
trichecker4_050,0.4,0.6,0.0,0.4,0.6,0.0
trichecker4_051,0.4,0.7,0.0,0.4,0.7,0.0
trichecker4_052,0.4,0.8,0.0,0.4,0.8,0.0
trichecker4_053,0.4,0.9,0.0,0.4,0.9,0.0
trichecker4_054,0.4,1.0,0.0,0.4,1.0,0.0
trichecker4_055,0.5,0.0,0.0,0.5,0.0,0.0
trichecker4_056,0.5,0.1,0.0,0.5,0.1,0.0
trichecker4_057,0.5,0.2,0.0,0.5,0.2,0.0
trichecker4_058,0.5,0.3,0.0,0.5,0.3,0.0
trichecker4_059,0.5,0.4,0.0,0.5,0.4,0.0
trichecker4_060,0.5,0.5,0.0,0.5,0.5,0.0
trichecker4_061,0.5,0.6,0.0,0.5,0.6,0.0
trichecker4_062,0.5,0.7,0.0,0.5,0.7,0.0
trichecker4_063,0.5,0.8,0.0,0.5,0.8,0.0
trichecker4_064,0.5,0.9,0.0,0.5,0.9,0.0
trichecker4_065,0.5,1.0,0.0,0.5,1.0,0.0
trichecker4_066,0.6,0.0,0.0,0.6,0.0,0.0
trichecker4_067,0.6,0.1,0.0,0.6,0.1,0.0
trichecker4_068,0.6,0.2,0.0,0.6,0.2,0.0
trichecker4_069,0.6,0.3,0.0,0.6,0.3,0.0
trichecker4_070,0.6,0.4,0.0,0.6,0.4,0.0
trichecker4_071,0.6,0.5,0.0,0.6,0.5,0.0
trichecker4_072,0.6,0.6,0.0,0.6,0.6,0.0
trichecker4_073,0.6,0.7,0.0,0.6,0.7,0.0
trichecker4_074,0.6,0.8,0.0,0.6,0.8,0.0
trichecker4_075,0.6,0.9,0.0,0.6,0.9,0.0
trichecker4_076,0.6,1.0,0.0,0.6,1.0,0.0
trichecker4_077,0.7,0.0,0.0,0.7,0.0,0.0
trichecker4_078,0.7,0.1,0.0,0.7,0.1,0.0
